ktk_id	source	index	uuid	date	kind	original_filename	filename	ai_caption
KTK-001	query.json	7	846DF091-EEBC-41A0-B466-505B0FAFD8AD	2023-07-18T22:12:11+09:00	image	IMG_7097.PNG	846DF091-EEBC-41A0-B466-505B0FAFD8AD.png	a screenshot of a page with text and numbers on it
KTK-002	query.json	8	38DDF72C-6B94-4641-9E08-C6B938E099C0	2023-07-18T22:46:59+09:00	image	IMG_7098.PNG	38DDF72C-6B94-4641-9E08-C6B938E099C0.png	a screenshot of a computer screen with text on it
KTK-003	query.json	10	3FE01826-0D47-49D4-87F8-09F4A205FFC2	2023-07-19T05:03:29+09:00	image	IMG_7100.PNG	3FE01826-0D47-49D4-87F8-09F4A205FFC2.png	a screenshot of a document with text and numbers
KTK-004	query.json	14	65E57318-5E11-48E7-84D2-C0089C142043	2023-07-19T05:29:15+09:00	image	IMG_7104.PNG	65E57318-5E11-48E7-84D2-C0089C142043.png	a screenshot of a list of text on a white background
KTK-005	query.json	16	9C03B954-52A5-4902-BAA0-F1CCCBD639A6	2023-07-19T07:17:12+09:00	video	IMG_7106.MOV	9C03B954-52A5-4902-BAA0-F1CCCBD639A6.mov	a large passenger jet sitting on top of an airport tarmac
KTK-006	query.json	17	5E5303F5-D5DE-49E0-A2D1-AB1A409E2407	2023-07-19T07:31:56.553000+09:00	image	IMG_7107.HEIC	5E5303F5-D5DE-49E0-A2D1-AB1A409E2407.heic	an aerial view of an airplane wing with clouds in the sky during the daytime
KTK-007	query.json	18	5816E4F0-C110-412D-950A-167E8A4211B0	2023-07-19T08:23:26+09:00	image	IMG_7108.PNG	5816E4F0-C110-412D-950A-167E8A4211B0.png	a screenshot of a list of text and images
KTK-008	query.json	20	EA70361E-A388-4F95-B205-80664A83867C	2023-07-19T08:48:03.085000+09:00	image	IMG_7110.HEIC	EA70361E-A388-4F95-B205-80664A83867C.heic	a cloudy sky above a paved area with a body of water in the background
KTK-009	query.json	21	F7DA8224-9951-417C-9154-EF8A68EC0701	2023-07-19T09:41:12.617269+09:00	image	IMG_7111.JPG	F7DA8224-9951-417C-9154-EF8A68EC0701.jpeg	a person holding a piece of paper with text on it
KTK-010	query.json	23	6C281187-2773-4AA7-91A1-63FFFEB4BA8C	2023-07-19T13:15:50.548151+09:00	image	IMG_7112.JPG	6C281187-2773-4AA7-91A1-63FFFEB4BA8C.jpeg	a group of people walking on a sidewalk near a building with a red and white sign
KTK-011	query.json	24	8668A10E-63C4-488A-A648-07829D063801	2023-07-19T13:39:50.901947+09:00	image	IMG_7113.JPG	8668A10E-63C4-488A-A648-07829D063801.jpeg	a restaurant with a menu on the wall
KTK-012	query.json	25	40EC1847-5D11-4E4E-A23D-474A8766EF51	2023-07-19T13:54:21+09:00	image	IMG_7114.PNG	40EC1847-5D11-4E4E-A23D-474A8766EF51.png	a screenshot of a map of a city
KTK-013	query.json	28	8B95D414-5A63-44D0-ACA0-101244516D05	2023-07-19T14:53:16.762360+09:00	image	IMG_7117.JPG	8B95D414-5A63-44D0-ACA0-101244516D05.jpeg	a person's hand holding a clear container with a white piece of paper with black text on it
KTK-014	query.json	29	EF2B0B12-2CD2-46D1-BDB7-669B101E628C	2023-07-19T14:54:36.467995+09:00	image	IMG_7118.JPG	EF2B0B12-2CD2-46D1-BDB7-669B101E628C.jpeg	a close up of a piece of paper with writing on it on a wooden surface
KTK-015	query.json	30	A557BDC0-1FA1-4DE2-BD58-153ABFABDED2	2023-07-19T14:59:05.735206+09:00	image	IMG_7119.JPG	A557BDC0-1FA1-4DE2-BD58-153ABFABDED2.jpeg	a close up of wooden plaques with text on them hanging on a wall
KTK-016	query.json	31	0E9A0228-366E-4D0E-8BE0-0D5D6BB2412C	2023-07-19T15:00:17.500055+09:00	image	IMG_7120.JPG	0E9A0228-366E-4D0E-8BE0-0D5D6BB2412C.jpeg	a close up of a bowl of food with chopsticks on a table
KTK-017	query.json	38	D53C03C2-9497-4F8F-AC7F-F8267849ECC1	2023-07-19T15:31:47+09:00	video	IMG_7127.MOV	D53C03C2-9497-4F8F-AC7F-F8267849ECC1.mov	a group of people walking in front of a store
KTK-018	query.json	39	6CE65B6B-193D-458B-8DBA-F55CA851835B	2023-07-19T15:37:43.992000+09:00	image	IMG_7128.HEIC	6CE65B6B-193D-458B-8DBA-F55CA851835B.heic	an assortment of bottles on display in a store with signs in front of them
KTK-019	query.json	40	DF1A4AA2-98CA-479C-AB63-A2C230F419F9	2023-07-19T15:48:29.449000+09:00	image	IMG_7129.HEIC	DF1A4AA2-98CA-479C-AB63-A2C230F419F9.heic	stacks of books on display in a store
KTK-020	query.json	59	09A0F919-3BE4-4CE1-AE08-A54BCD96FB6D	2023-07-20T08:50:55.364000+09:00	image	IMG_7148.HEIC	09A0F919-3BE4-4CE1-AE08-A54BCD96FB6D.heic	a white sign with black and red text on it on a white table
KTK-021	query.json	48	BAB39BB7-104E-4BCD-90E4-97D39FD2C3DD	2023-07-19T17:21:59.667042+09:00	image	IMG_7137.JPG	BAB39BB7-104E-4BCD-90E4-97D39FD2C3DD.jpeg	a person's hand holding a box with text and an image on it in a store
KTK-022	query.json	58	FD19BDA7-46E3-4016-926E-B93CA01A5772	2023-07-19T22:09:24.433183+09:00	image	IMG_7147.JPG	FD19BDA7-46E3-4016-926E-B93CA01A5772.jpeg	a laptop computer sitting on top of a table next to a bottle of orange juice
KTK-023	query.json	50	7CB53683-C612-4039-86E2-056816CE069E	2023-07-19T17:51:31.206000+09:00	image	IMG_7139.HEIC	7CB53683-C612-4039-86E2-056816CE069E.heic	a sign with images of food and text on it
KTK-024	query.json	55	ABFBFEC2-B067-4327-BC27-50714EFE542F	2023-07-19T18:45:46.273000+09:00	image	IMG_7144.HEIC	ABFBFEC2-B067-4327-BC27-50714EFE542F.heic	a close up of a plate of food on a table
